date,transaction_number,transaction_value,city
2017-01-31,343.1675497189053,33.173469365619525,Tripoli
2017-02-28,291.5028043604319,52.39772192771157,Tripoli
2017-03-31,657.2740786139133,92.55489595709969,Tripoli
2017-04-30,515.4489586177547,57.96842636878188,Tripoli
2017-05-31,599.1612352816448,39.93153117924728,Tripoli
2017-06-30,626.2087574975601,37.241763472360034,Tripoli
2017-07-31,669.2142624019567,37.55897456954616,Tripoli
2017-08-31,698.978390728094,37.75919384212537,Tripoli
2017-09-30,718.4043735601983,37.652540182323094,Tripoli
2017-10-31,729.9089071486083,37.51208733725056,Tripoli
2017-11-30,735.6867961914618,37.359329639456064,Tripoli
2017-12-31,733.1251471074766,36.9763302207861,Tripoli
2018-01-31,466.049407168594,30.24550616459809,Beirut
2018-02-28,1113.2805790179855,62.00027583393853,Beirut
2018-03-31,662.2225553156832,79.78188448920743,Beirut
2018-04-30,326.77837913252125,50.71204412639116,Kesrouan
2018-05-31,387.43847702706233,76.47379358196179,Kesrouan
2018-06-30,377.41960202461604,79.90220053852424,Kesrouan
2018-07-31,388.97710745292846,85.06634011455188,Kesrouan
2018-08-31,368.7481981996921,85.04000738164049,Kesrouan
2018-09-30,333.3493343491337,83.8666604849546,Kesrouan
2018-10-31,295.635759434571,81.85686207226047,Kesrouan
2018-11-30,259.2472002436589,77.27917839060261,Kesrouan
2018-12-31,224.77232074183615,67.15982067005302,Kesrouan
2019-01-31,384.05763571240954,80.5344820018006,Kesrouan
2019-02-28,627.1623225884153,123.51195612197239,Kesrouan
2019-03-31,644.3389454850906,113.68406851250454,Kesrouan
2019-04-30,697.8224386619589,116.93242780087915,Kesrouan
2019-05-31,707.5287366254146,120.33570292246212,Kesrouan
2019-06-30,708.1829676372552,120.9388843662885,Kesrouan
2019-07-31,703.0470022901777,119.1146159819058,Kesrouan
2019-08-31,692.5870791424555,115.41776482678092,Kesrouan
2019-09-30,681.9737103932766,111.73694304839854,Kesrouan
2019-10-31,662.7868205668195,106.92652882841233,Kesrouan
2019-11-30,621.9187581915359,100.00434429743211,Kesrouan
2019-12-31,558.8150462910535,92.78097804600827,Kesrouan
2020-01-31,1769.9778762360575,255.54081548032485,Baabda
2020-02-29,1397.9611069018868,278.4709346341896,Baabda
2020-03-31,1520.3053289656075,195.8175158732611,Baabda
2020-04-30,1415.2256083536179,215.2950534730657,Baabda
2020-05-31,1487.9671722668122,209.43940554010848,Baabda
2020-06-30,1485.1025185007754,213.19654525227563,Baabda
2020-07-31,1491.667571963486,212.3366501201196,Baabda
2020-08-31,1502.4971464287892,213.0361470589437,Baabda
2020-09-30,1506.7000588784517,214.65664568990516,Baabda
2020-10-31,1512.6812705404966,215.2365749650801,Baabda
2020-11-30,1518.9803132419568,216.63784880836704,Baabda
2020-12-31,1522.7593070271819,217.82007190715788,Baabda
2021-01-31,490.3534774912931,287.0328321630408,Bekaa
2021-02-28,474.2447841604804,262.05638293330884,Bekaa
2021-03-31,519.0586008550301,289.9687143286853,Bekaa
2021-04-30,521.5794414699599,331.4494519221473,Bekaa
2021-05-31,519.1061027766818,338.6686585416043,Bekaa
2021-06-30,522.9944949269229,340.22759810032017,Bekaa
2021-07-31,526.4149211762851,341.2286944632164,Bekaa
2021-08-31,528.9310835716583,341.5686355995184,Bekaa
2021-09-30,531.1471201893225,341.93182890447173,Bekaa
2021-10-31,533.0887972231433,342.50429172728786,Bekaa
2021-11-30,534.9911052400801,342.3594181854807,Bekaa
2021-12-31,536.7134817356084,342.3408651826495,Bekaa
2022-01-31,1102.3871648488866,195.73152113875014,Baabda
2022-02-28,1845.6419598925731,266.9640524814568,Baabda
2022-03-31,1476.1646720789502,232.479067470539,Baabda
2022-04-30,1546.0644695156311,196.50517787594526,Baabda
2022-05-31,1544.368075131794,213.0956698260005,Baabda
2022-06-30,1509.5320370802008,217.37114493246133,Baabda
2022-07-31,1507.613247335903,217.32554561968686,Baabda
2022-08-31,1505.14717787609,218.55568280552663,Baabda
2022-09-30,1503.952576519156,217.76545715773563,Baabda
2022-10-31,1509.2406919607365,217.49485482375945,Baabda
2022-11-30,1509.5553562053751,217.55261975471308,Baabda
2022-12-31,1512.1466580040885,217.8884360676839,Baabda
2023-01-31,372.1623628321094,78.02055011818068,Kesrouan
2023-02-28,586.075823346142,112.45112923149046,Kesrouan
2023-03-31,615.0540107867679,108.01779696210416,Kesrouan
2023-04-30,668.9468841611441,110.37818795362617,Kesrouan
2023-05-31,691.7803381730696,115.08339307219185,Kesrouan
2023-06-30,695.3686765182102,116.59951800898976,Kesrouan
2023-07-31,686.0208741180081,114.06999185657374,Kesrouan
2023-08-31,671.6056242940812,109.99579768608109,Kesrouan
2023-09-30,653.8257269924284,105.7526772065087,Kesrouan
2023-10-31,624.6611304956234,100.74387116731774,Kesrouan
2023-11-30,583.268747666956,95.45748366269167,Kesrouan
2023-12-31,540.1032476537227,90.96575990690903,Kesrouan
2024-01-31,337.0208730297736,33.469064300032386,Tripoli
2024-02-29,859.4660800973261,170.2407046991949,Bekaa
2024-03-31,416.1600821181601,212.3077241438482,Bekaa
2024-04-30,373.70747079274656,289.56488194154554,Bekaa
2024-05-31,458.5995224562064,294.646594668222,Bekaa
2024-06-30,460.1706125285346,306.76161849536925,Bekaa
2024-07-31,459.95145593545953,320.85314627515805,Bekaa
2024-08-31,465.8427738094088,327.2384076003776,Bekaa
2024-09-30,473.3165534278394,330.82244396718033,Bekaa
2024-10-31,480.66488478954415,332.7227866248979,Bekaa
2024-11-30,487.1892017558076,334.2853810903629,Bekaa
2024-12-31,493.1049903166684,335.2495106821396,Bekaa
2025-01-31,981.3085091341433,54.87886407649671,Beirut
2025-02-28,835.9468710710097,62.33436911944192,Beirut
2025-03-31,350.3027701866542,61.61783335343989,Kesrouan
2025-04-30,409.59646810762086,78.54003419745268,Kesrouan
2025-05-31,413.29816331124874,84.91779426167773,Kesrouan
2025-06-30,420.70421670502117,87.68410615848191,Kesrouan
